DateID,Date,DayofWeek,Month,Quarter,Year,Isweekend
20140602,02-06-2014,0,6,2,2014,FALSE
20140603,03-06-2014,1,6,2,2014,FALSE
20140604,04-06-2014,2,6,2,2014,FALSE
20140605,05-06-2014,3,6,2,2014,FALSE
20140606,06-06-2014,4,6,2,2014,FALSE
20140607,07-06-2014,5,6,2,2014,TRUE
20140608,08-06-2014,6,6,2,2014,TRUE
20140609,09-06-2014,0,6,2,2014,FALSE
20140610,10-06-2014,1,6,2,2014,FALSE
20140611,11-06-2014,2,6,2,2014,FALSE
20140612,12-06-2014,3,6,2,2014,FALSE
20140613,13-06-2014,4,6,2,2014,FALSE
20140614,14-06-2014,5,6,2,2014,TRUE
20140615,15-06-2014,6,6,2,2014,TRUE
20140616,16-06-2014,0,6,2,2014,FALSE
20140617,17-06-2014,1,6,2,2014,FALSE
20140618,18-06-2014,2,6,2,2014,FALSE
20140619,19-06-2014,3,6,2,2014,FALSE
20140620,20-06-2014,4,6,2,2014,FALSE
20140621,21-06-2014,5,6,2,2014,TRUE
20140622,22-06-2014,6,6,2,2014,TRUE
20140623,23-06-2014,0,6,2,2014,FALSE
20140624,24-06-2014,1,6,2,2014,FALSE
20140625,25-06-2014,2,6,2,2014,FALSE
20140626,26-06-2014,3,6,2,2014,FALSE
20140627,27-06-2014,4,6,2,2014,FALSE
20140628,28-06-2014,5,6,2,2014,TRUE
20140629,29-06-2014,6,6,2,2014,TRUE
20140630,30-06-2014,0,6,2,2014,FALSE
20140701,01-07-2014,1,7,3,2014,FALSE
20140702,02-07-2014,2,7,3,2014,FALSE
20140703,03-07-2014,3,7,3,2014,FALSE
20140704,04-07-2014,4,7,3,2014,FALSE
20140705,05-07-2014,5,7,3,2014,TRUE
20140706,06-07-2014,6,7,3,2014,TRUE
20140707,07-07-2014,0,7,3,2014,FALSE
20140708,08-07-2014,1,7,3,2014,FALSE
20140709,09-07-2014,2,7,3,2014,FALSE
20140710,10-07-2014,3,7,3,2014,FALSE
20140711,11-07-2014,4,7,3,2014,FALSE
20140712,12-07-2014,5,7,3,2014,TRUE
20140713,13-07-2014,6,7,3,2014,TRUE
20140714,14-07-2014,0,7,3,2014,FALSE
20140715,15-07-2014,1,7,3,2014,FALSE
20140716,16-07-2014,2,7,3,2014,FALSE
20140717,17-07-2014,3,7,3,2014,FALSE
20140718,18-07-2014,4,7,3,2014,FALSE
20140719,19-07-2014,5,7,3,2014,TRUE
20140720,20-07-2014,6,7,3,2014,TRUE
20140721,21-07-2014,0,7,3,2014,FALSE
20140722,22-07-2014,1,7,3,2014,FALSE
20140723,23-07-2014,2,7,3,2014,FALSE
20140724,24-07-2014,3,7,3,2014,FALSE
20140725,25-07-2014,4,7,3,2014,FALSE
20140726,26-07-2014,5,7,3,2014,TRUE
